ID,Source_Sura,Source_Verse,target_sura,Target_verse,common_roots,relevance_degree
162,2,15,6,110,2,2
163,2,15,9,67,0,2
164,2,15,9,79,0,2
165,2,15,22,46,0,1
166,2,15,42,40,0,0
167,2,15,57,13,0,2
168,2,15,69,11,0,1
169,2,16,41,17,3,2
170,2,16,63,3,0,1
171,2,17,2,8,0,1
172,2,17,29,43,2,1
173,2,17,31,28,1,0
174,2,17,33,19,1,1
175,2,17,62,5,3,1
176,2,17,63,3,0,1
177,2,18,22,46,1,2
178,2,19,9,56,0,1
179,2,19,9,57,0,1
180,2,19,63,4,1,1
181,2,19,85,17,0,0
182,2,19,85,18,0,0
183,2,19,85,19,1,1
184,2,19,85,20,1,1
185,2,20,22,3,2,1
186,2,20,22,8,0,1
187,2,20,22,11,0,1
188,2,20,24,39,2,1
189,2,20,24,40,2,1
190,2,20,57,12,0,1
191,2,20,57,13,0,1
192,2,20,66,8,5,1
193,2,20,76,24,0,1
194,2,22,21,32,4,2
195,2,22,35,27,6,2
196,2,22,35,28,1,2
197,2,22,40,64,8,2
198,2,23,10,37,5,2
199,2,23,10,38,8,2
200,2,23,11,13,8,2
201,2,23,17,88,4,2
202,2,23,28,49,4,2
203,2,24,2,104,1,1
204,2,24,6,115,0,1
205,2,24,7,157,1,0
206,2,24,10,38,0,1
207,2,24,11,1,0,0
208,2,24,17,68,0,1
209,2,24,17,97,0,1
210,2,24,21,98,0,2
211,2,24,26,205,0,0
212,2,24,26,206,0,0
213,2,24,26,207,0,0
214,2,24,29,40,0,1
215,2,24,32,17,0,0
216,2,24,43,71,0,0
217,2,24,67,16,0,0
218,2,24,67,17,0,0
219,2,24,72,15,0,2
220,2,24,103,1,0,0
221,2,24,103,2,1,0
222,2,24,103,3,0,0
223,2,24,108,1,0,0
224,2,26,2,17,2,1
225,2,26,2,19,1,1
226,2,26,6,44,0,0
227,2,26,6,154,3,0
228,2,26,14,24,3,1
229,2,26,14,25,4,1
230,2,26,14,26,3,1
231,2,26,14,27,5,1
232,2,26,16,75,6,1
233,2,26,16,76,3,1
234,2,26,22,73,3,1
235,2,26,29,41,3,1
236,2,26,29,43,4,1
237,2,26,30,28,3,1
238,2,26,39,29,6,1
239,2,26,74,31,11,1
240,2,27,2,40,1,2
241,2,27,7,172,0,2
242,2,27,13,19,0,1
243,2,27,13,20,3,2
244,2,27,13,21,2,2
245,2,27,13,25,9,2
246,2,27,47,22,3,2
247,2,28,16,21,4,2
248,2,28,36,33,4,2
249,2,28,40,11,4,2
250,2,28,45,26,4,2
251,2,28,52,35,0,1
252,2,28,52,36,0,1
253,2,28,76,1,1,2
254,2,29,7,54,7,2
255,2,29,16,15,1,1
256,2,29,21,30,5,2
257,2,29,41,9,3,2
258,2,29,41,10,2,2
259,2,29,41,11,5,2
260,2,29,41,12,5,2
261,2,29,67,14,2,1
262,2,29,68,1,0,0
263,2,29,79,27,3,2
264,2,29,79,28,2,1
265,2,29,79,29,0,1
266,2,29,79,30,1,1
267,2,29,79,31,0,1
268,2,29,79,32,0,1
269,2,30,2,33,6,1
270,2,30,6,165,5,2
271,2,30,10,14,4,2
272,2,30,19,59,1,1
273,2,30,27,62,4,2
274,2,30,41,11,4,1
275,2,30,43,60,5,1
276,2,31,24,45,1,1
277,2,33,11,119,0,1
278,2,33,20,7,5,2
279,2,33,27,25,6,2
280,2,33,27,26,0,1
281,2,33,49,4,0,1
282,2,34,2,30,2,1
283,2,34,2,31,3,1
284,2,34,2,32,1,1
285,2,34,2,33,2,1
286,2,34,2,35,2,1
287,2,34,7,13,3,2
288,2,34,11,43,2,0
289,2,34,12,100,3,1
290,2,34,15,30,3,2
291,2,34,15,31,4,2
292,2,34,17,11,1,1
293,2,34,17,78,1,0
294,2,34,18,50,5,2
295,2,34,21,37,0,1
296,2,34,38,71,2,1
297,2,34,38,72,2,1
298,2,34,44,10,0,0
299,2,34,55,14,0,1
300,2,35,2,32,1,1
301,2,35,2,33,2,1
302,2,36,51,9,0,1
303,2,37,4,110,1,2
304,2,37,7,23,0,2
305,2,37,9,104,3,2
306,2,37,25,71,2,2
307,2,38,20,123,7,2
308,2,38,20,124,0,2
309,2,40,5,12,1,2
310,2,40,5,20,3,2
311,2,40,17,3,0,1
312,2,44,11,88,0,2
313,2,44,39,9,0,0
314,2,44,61,2,0,2
315,2,44,61,3,0,2
316,2,45,18,53,0,0
317,2,45,28,80,1,2
318,2,45,29,45,2,1
319,2,45,41,34,0,1
320,2,45,41,35,1,2
321,2,46,9,67,0,1
322,2,46,69,20,2,2
323,2,47,3,110,0,1
324,2,47,5,20,4,2
325,2,47,44,32,1,2
326,2,48,2,254,3,2
327,2,48,3,91,2,2
328,2,48,5,36,2,2
329,2,48,6,16,0,1
330,2,48,6,70,5,2
331,2,48,14,31,2,2
332,2,48,23,88,1,2
333,2,48,26,100,1,2
334,2,48,26,101,0,1
335,2,48,31,33,4,2
336,2,48,37,24,0,1
337,2,48,37,25,1,1
338,2,48,37,26,1,1
339,2,48,46,28,2,2
340,2,48,57,15,2,2
341,2,48,74,48,1,2
342,2,48,80,37,0,2
343,2,48,86,10,1,2
344,2,48,89,25,0,1
345,2,48,89,26,0,1
346,2,49,2,47,1,1
347,2,49,7,168,2,2
348,2,49,14,5,0,2
349,2,49,14,6,12,2
350,2,49,21,35,1,1
351,2,50,26,63,2,2
352,2,51,7,142,3,2
353,2,53,28,43,3,2
354,2,54,7,149,2,2
355,2,55,7,155,2,2
356,2,55,7,156,2,1
357,2,57,2,60,2,2
358,2,57,2,210,2,2
359,2,57,34,15,4,2
360,2,58,5,21,2,1
361,2,58,110,1,0,0
362,2,58,110,2,2,0
363,2,59,2,142,3,1
364,2,59,110,3,1,0
365,2,60,7,160,15,2
366,2,61,76,15,2,0
367,2,61,76,16,0,0
368,2,62,3,52,2,1
369,2,62,3,85,1,1
370,2,62,7,156,4,1
371,2,62,10,62,2,2
372,2,62,41,30,3,2
373,2,63,7,171,7,2
374,2,65,5,60,3,2
375,2,65,5,78,2,2
376,2,65,7,163,3,2
377,2,65,7,164,1,2
378,2,65,7,166,4,2
379,2,65,62,5,0,1
380,2,66,13,31,1,1
381,2,66,13,41,0,1
382,2,66,21,44,0,1
383,2,66,46,27,0,1
384,2,66,79,25,1,1
385,2,67,2,68,5,1
386,2,67,2,69,4,1
387,2,67,2,70,4,1
388,2,67,2,71,5,1
389,2,67,2,72,1,1
390,2,73,2,56,1,1
391,2,73,36,33,3,2
392,2,73,36,34,0,1
393,2,73,36,35,0,1
394,2,74,2,17,0,0
395,2,74,2,19,0,0
396,2,74,4,77,2,1
397,2,74,16,48,0,1
398,2,74,17,44,0,1
399,2,74,18,77,0,1
400,2,74,24,39,2,1
401,2,74,24,40,1,1
402,2,74,33,72,0,1
403,2,74,34,24,0,1
404,2,74,37,147,0,1
405,2,74,41,11,0,1
406,2,74,41,21,0,1
407,2,74,53,9,0,1
408,2,74,55,6,0,1
409,2,74,57,16,3,2
410,2,74,59,21,1,1
411,2,74,76,24,0,1
412,2,75,2,44,1,2
413,2,75,5,13,2,2
414,2,75,9,6,4,1
415,2,76,2,77,0,1
416,2,76,3,72,4,1
417,2,78,29,48,1,1
418,2,78,62,2,3,1
419,2,80,2,82,0,1
420,2,81,4,123,1,1
421,2,81,4,124,0,1
422,2,83,4,36,9,2
423,2,83,16,36,1,2
424,2,83,17,23,5,2
425,2,83,17,26,4,2
426,2,83,21,25,1,2
427,2,83,31,14,2,2
428,2,84,2,54,2,1
429,2,87,3,50,2,1
430,2,87,5,44,1,1
431,2,87,5,110,7,2
432,2,87,23,44,6,2
433,2,87,26,193,1,2
434,2,87,26,194,0,0
435,2,87,26,195,1,0
436,2,87,42,52,2,1
437,2,88,4,155,6,2
438,2,88,41,5,2,2
439,2,90,40,60,1,1
440,2,91,2,87,1,1
441,2,91,2,146,1,1
442,2,92,7,148,4,2
443,2,92,7,149,0,1
444,2,96,3,61,0,1
445,2,96,19,75,1,1
446,2,96,62,6,1,2
447,2,96,62,7,0,2
448,2,96,62,8,1,1
449,2,97,4,150,3,1
450,2,97,4,151,0,1
451,2,97,12,66,1,0
452,2,97,17,82,2,2
453,2,97,19,64,4,1
454,2,97,26,192,1,1
455,2,97,26,193,2,2
456,2,97,26,194,2,1
457,2,97,41,44,5,2
458,2,98,22,75,2,2
459,2,101,7,157,5,2
460,2,102,2,30,9,1
461,2,102,2,101,7,0
462,2,102,2,246,9,0
463,2,102,2,251,10,0
464,2,102,4,11,8,0
465,2,102,7,116,3,2
466,2,102,7,155,2,0
467,2,102,20,66,2,2
468,2,102,20,116,3,0
469,2,102,21,3,1,1
470,2,102,26,153,2,1
471,2,102,28,80,7,0
472,2,102,39,6,6,0
473,2,102,39,9,8,0
474,2,102,40,7,7,0
475,2,102,40,13,1,0
476,2,102,42,5,2,0
477,2,102,57,25,11,0
478,2,104,4,46,7,2
479,2,106,2,187,2,1
480,2,106,18,24,2,1
481,2,106,87,6,1,1
482,2,106,3,93,0,1
483,2,107,7,54,3,1
484,2,108,2,217,4,2
485,2,108,2,219,2,1
486,2,108,2,220,2,1
487,2,108,4,110,0,0
488,2,108,4,153,2,2
489,2,108,5,101,3,1
490,2,108,14,28,2,1
491,2,108,14,29,0,1
492,2,109,3,186,5,1
493,2,109,9,5,2,1
494,2,109,9,29,4,1
495,2,110,40,52,0,0
496,2,111,5,18,3,2
497,2,112,3,20,2,1
498,2,112,4,142,0,1
499,2,112,18,110,1,2
500,2,112,24,39,1,1
501,2,112,25,23,0,1
502,2,112,107,4,0,0
503,2,112,107,5,0,0
504,2,112,107,6,0,1
505,2,112,107,7,0,0
506,2,113,22,17,7,1
507,2,113,34,26,6,1
508,2,114,8,34,3,2
509,2,114,9,17,2,2
510,2,114,9,18,3,2
511,2,114,9,28,2,2
512,2,114,48,25,3,2
513,2,115,2,142,3,2
514,2,115,2,144,3,2
515,2,115,2,150,2,2
516,2,115,3,199,0,1
517,2,115,40,60,0,1
518,2,115,58,7,1,1
519,2,116,6,101,4,2
520,2,116,13,15,2,2
521,2,116,19,88,3,2
522,2,116,19,89,0,1
523,2,116,19,90,2,1
524,2,116,19,91,1,2
525,2,116,19,92,2,2
526,2,116,19,93,3,0
527,2,116,19,94,0,0
528,2,116,19,95,1,0
529,2,116,112,1,1,0
530,2,116,112,2,0,0
531,2,116,112,3,1,2
532,2,116,112,4,0,0
533,2,117,3,59,3,2
534,2,117,16,40,3,2
535,2,117,36,82,4,2
536,2,117,54,50,1,2
537,2,118,2,55,3,2
538,2,118,4,153,5,2
539,2,118,6,124,8,2
540,2,118,10,96,1,1
541,2,118,10,97,2,1
542,2,118,17,90,3,2
543,2,118,17,91,0,1
544,2,118,17,92,2,1
545,2,118,17,93,3,1
546,2,118,25,21,3,2
547,2,118,51,52,5,1
548,2,118,51,53,1,1
549,2,118,74,52,1,2
550,2,119,13,40,0,2
551,2,119,50,45,0,1
552,2,119,88,21,0,1
553,2,119,88,22,0,1
554,2,120,109,6,0,1
555,2,121,3,20,2,1
556,2,121,5,66,0,1
557,2,121,5,68,2,1
558,2,121,7,157,2,1
559,2,121,11,17,6,2
560,2,121,17,107,4,2
561,2,121,17,108,0,0
562,2,121,28,52,3,2
563,2,121,28,53,4,2
564,2,121,28,54,1,1
565,2,121,91,2,2,0
566,2,124,2,125,3,1
567,2,124,2,127,1,1
568,2,124,2,128,4,1
569,2,124,2,129,1,1
570,2,124,2,131,4,1
571,2,124,3,67,0,2
572,2,124,3,68,1,2
573,2,124,6,115,3,1
574,2,124,6,161,4,2
575,2,124,9,112,0,0
576,2,124,16,120,1,2
577,2,124,16,121,0,1
578,2,124,16,122,0,1
579,2,124,16,123,0,2
580,2,124,29,27,2,2
581,2,124,30,17,0,0
582,2,124,33,35,0,1
583,2,124,37,113,2,1
584,2,124,53,37,0,2
585,2,124,66,12,2,1
586,2,125,3,96,3,2
587,2,125,3,97,5,2
588,2,125,5,97,5,2
589,2,125,9,84,2,0
590,2,125,9,109,1,1
591,2,125,14,37,6,2
592,2,125,14,40,3,1
593,2,125,22,25,4,2
594,2,125,22,26,7,2
595,2,125,24,36,2,1
596,2,125,53,4,0,0
597,2,125,66,5,1,0
598,2,126,2,129,1,2
599,2,126,3,97,3,1
600,2,126,10,69,2,1
601,2,126,10,70,3,1
602,2,126,11,102,1,1
603,2,126,14,39,1,1
604,2,126,17,20,1,1
605,2,126,22,48,1,1
606,2,126,29,67,4,2
607,2,126,31,23,1,2
608,2,126,31,24,4,2
609,2,126,43,33,2,1
610,2,126,43,34,0,1
611,2,126,43,35,3,1
612,2,127,14,37,2,2
613,2,127,22,26,1,2
614,2,127,23,60,1,1
615,2,128,2,124,4,1
616,2,128,2,129,1,1
617,2,128,7,158,1,1
618,2,128,7,159,1,1
619,2,128,14,35,2,1
620,2,128,25,74,4,1
621,2,128,62,2,1,2
622,2,129,61,6,1,1
623,2,130,3,67,0,2
624,2,130,3,68,0,1
625,2,130,6,78,0,1
626,2,130,6,79,0,2
627,2,130,9,114,0,2
628,2,130,16,120,0,2
629,2,130,16,121,0,1
630,2,130,16,122,3,1
631,2,130,31,13,0,1
632,2,130,43,26,0,1
633,2,130,43,27,0,1
634,2,132,11,71,0,1
635,2,132,21,72,0,1
636,2,132,29,27,0,1
637,2,132,43,28,0,1
638,2,132,92,5,0,0
639,2,132,92,6,0,0
640,2,132,92,7,0,0
641,2,132,92,8,0,0
642,2,132,92,9,0,0
643,2,132,92,10,0,0
644,2,133,3,83,1,1
645,2,133,21,25,5,1
646,2,136,3,52,3,1
647,2,136,4,150,4,1
648,2,136,4,151,0,1
649,2,136,5,20,5,1
650,2,136,7,160,3,2
651,2,138,2,135,0,2
652,2,138,2,136,0,1
653,2,138,4,36,2,0
654,2,138,30,30,0,2
655,2,139,2,258,4,1
656,2,139,3,20,2,2
657,2,139,6,80,4,1
658,2,139,10,41,3,2
659,2,140,3,67,2,2
660,2,142,2,144,3,1
661,2,142,2,177,5,2
662,2,143,9,124,1,1
663,2,143,9,125,1,1
664,2,143,17,82,2,1
665,2,143,22,78,14,2
666,2,143,41,44,9,1
667,2,144,2,115,7,2
668,2,144,2,142,5,1
669,2,144,2,143,4,1
670,2,145,10,96,0,2
671,2,145,10,97,3,2
672,2,148,5,48,8,1
673,2,150,2,144,12,1
674,2,151,3,164,11,2
675,2,151,14,28,0,1
676,2,152,3,102,0,1
677,2,152,14,7,2,2
678,2,153,2,45,4,2
679,2,153,39,10,3,2
680,2,155,16,112,2,1
681,2,155,47,31,2,2
682,2,158,4,40,0,1
683,2,163,3,1,0,0
684,2,163,3,2,3,2
685,2,163,2,163,0,1
686,2,164,3,190,11,2
687,2,164,3,191,8,2
688,2,164,11,6,6,2
689,2,164,22,61,2,2
690,2,164,36,33,6,2
691,2,164,36,34,0,2
692,2,164,36,35,0,1
693,2,164,36,36,5,2
694,2,164,36,40,4,2
695,2,165,89,25,2,1
696,2,165,89,26,0,1
697,2,166,14,22,1,2
698,2,166,19,81,0,2
699,2,166,19,82,0,2
700,2,166,28,63,1,2
701,2,166,29,25,0,2
702,2,166,34,31,1,2
703,2,166,34,32,0,2
704,2,166,34,33,2,2
705,2,166,34,41,0,2
706,2,166,46,5,0,2
707,2,166,46,6,0,2
708,2,167,14,18,1,2
709,2,167,24,39,1,2
710,2,167,25,23,1,2
711,2,168,18,50,1,2
712,2,168,35,6,2,2
713,2,171,6,39,2,2
714,2,171,16,60,2,1
715,2,172,23,51,2,2
716,2,173,5,96,1,2
717,2,174,4,10,3,2
718,2,177,3,92,3,2
719,2,177,13,20,3,2
720,2,177,22,37,1,2
721,2,177,41,6,1,1
722,2,177,41,7,4,1
723,2,177,59,9,6,2
724,2,177,76,8,3,2
725,2,177,76,9,1,2
726,2,177,79,18,1,1
727,2,177,79,19,0,1
728,2,177,91,9,1,1
729,2,177,91,10,0,1
730,2,178,5,45,2,2
731,2,180,4,7,3,2
732,2,180,4,11,4,2
733,2,182,2,229,1,1
734,2,183,2,144,3,0
735,2,183,5,48,2,0
736,2,184,2,185,10,1
737,2,184,2,187,4,1
738,2,185,2,200,2,1
739,2,185,4,103,1,1
740,2,185,25,32,2,2
741,2,185,25,33,0,1
742,2,185,44,3,2,2
743,2,185,50,39,0,1
744,2,185,50,40,0,1
745,2,185,62,10,0,1
746,2,185,97,1,1,2
747,2,186,16,128,0,2
748,2,186,20,46,0,2
749,2,186,40,60,6,2
750,2,187,57,9,3,1
751,2,187,65,2,2,0
752,2,190,9,5,3,2
753,2,190,9,36,2,2
754,2,190,22,39,2,2
755,2,191,9,5,9,2
756,2,191,48,24,0,2
757,2,191,48,25,3,2
758,2,193,2,194,1,1
759,2,193,42,40,1,2
760,2,194,16,126,1,2
761,2,194,49,9,0,2
762,2,195,4,84,1,1
763,2,196,2,197,5,1
764,2,196,6,38,0,0
765,2,196,7,142,3,0
766,2,196,29,48,2,0
767,2,197,2,187,5,1
768,2,197,2,189,5,1
769,2,197,2,203,4,2
770,2,197,6,145,1,1
771,2,197,7,26,4,1
772,2,197,9,36,5,1
773,2,197,22,25,0,1
774,2,200,2,74,1,0
775,2,200,4,77,7,1
776,2,200,37,147,0,0
777,2,200,53,9,1,1
778,2,203,23,79,1,1
779,2,204,4,108,2,1
780,2,204,19,97,1,1
781,2,204,63,1,2,2
782,2,205,62,9,1,1
783,2,205,79,22,1,1
784,2,205,79,23,0,1
785,2,205,79,24,0,1
786,2,205,79,25,0,1
787,2,205,79,26,0,0
788,2,206,22,72,2,2
789,2,207,9,111,2,2
790,2,208,2,169,0,2
791,2,208,35,6,2,2
792,2,210,6,158,3,2
793,2,210,25,25,2,2
794,2,210,89,21,0,1
795,2,210,89,22,1,2
796,2,210,89,23,0,1
797,2,211,14,28,2,2
798,2,211,14,29,0,1
799,2,212,34,39,2,2
800,2,214,29,1,0,0
801,2,214,29,2,3,2
802,2,214,29,3,1,2
803,2,214,33,10,0,1
804,2,214,33,11,2,1
805,2,214,33,12,2,1
806,2,214,43,8,1,1
807,2,214,94,5,1,1
808,2,214,94,6,1,1
809,2,219,2,220,4,1
810,2,219,3,190,1,1
811,2,219,4,43,3,2
812,2,219,5,90,2,2
813,2,219,5,91,3,2
814,2,220,4,10,1,2
815,2,220,6,152,2,2
816,2,220,17,34,2,2
817,2,221,5,5,4,2
818,2,221,60,10,7,2
819,2,222,5,2,0,0
820,2,222,9,5,3,0
821,2,222,62,10,0,0
822,2,223,7,80,2,1
823,2,223,26,165,2,1
824,2,223,26,166,0,1
825,2,224,24,22,0,2
826,2,225,5,89,4,2
827,2,228,4,34,3,2
828,2,228,65,1,2,2
829,2,229,2,228,3,1
830,2,229,4,4,2,2
831,2,229,4,19,4,2
832,2,229,4,20,3,1
833,2,233,4,23,5,2
834,2,233,31,14,9,2
835,2,233,46,15,12,2
836,2,233,65,6,7,2
837,2,233,65,7,5,2
838,2,234,2,240,8,2
839,2,234,65,4,2,1
840,2,235,28,69,5,2
841,2,235,60,1,5,2
842,2,236,2,241,5,2
843,2,236,33,28,2,2
844,2,236,33,49,4,2
845,2,238,6,55,0,0
846,2,238,6,75,0,1
847,2,238,33,40,0,0
848,2,238,87,1,0,0
849,2,238,87,2,0,0
850,2,238,87,3,0,0
851,2,238,87,4,0,0
852,2,239,4,102,1,2
853,2,239,4,103,3,2
854,2,240,2,234,8,2
855,2,240,4,11,2,1
856,2,240,4,12,4,2
857,2,240,33,49,1,1
858,2,242,2,236,0,0
859,2,244,3,168,1,1
860,2,244,4,77,1,2
861,2,244,4,78,0,1
862,2,245,2,261,2,2
863,2,245,9,38,0,1
864,2,245,39,10,1,1
865,2,245,112,1,0,0
866,2,251,22,40,4,1
867,2,253,17,55,5,2
868,2,254,23,101,0,1
869,2,255,3,1,0,0
870,2,255,3,2,3,2
871,2,255,13,9,3,2
872,2,255,19,64,3,2
873,2,255,19,93,4,2
874,2,255,19,94,0,1
875,2,255,19,95,1,1
876,2,255,20,110,6,2
877,2,255,20,111,2,2
878,2,255,21,28,6,2
879,2,255,30,25,5,1
880,2,255,34,23,4,2
881,2,255,40,1,0,0
882,2,255,40,3,1,2
883,2,255,53,26,6,2
884,2,256,9,123,3,1
885,2,256,13,11,1,1
886,2,256,48,16,0,1
887,2,256,66,9,1,1
888,2,257,6,1,6,2
889,2,257,6,153,0,1
890,2,257,16,48,0,0
891,2,258,28,38,3,1
892,2,260,39,53,4,0
893,2,261,2,245,1,2
894,2,261,39,10,1,1
895,2,266,29,43,0,1
896,2,267,3,92,3,2
897,2,267,22,37,0,1
898,2,271,63,10,2,1
899,2,272,41,46,2,2
900,2,272,45,15,1,2
901,2,272,60,8,0,1
902,2,273,4,101,2,1
903,2,273,15,75,0,1
904,2,273,47,30,3,1
905,2,273,48,29,1,1
906,2,273,73,20,5,1
907,2,275,2,230,3,0
908,2,275,5,95,5,1
909,2,275,12,76,0,0
910,2,276,5,100,0,1
911,2,276,8,37,0,1
912,2,276,30,39,2,2
913,2,282,8,29,3,2
914,2,282,57,28,3,2
915,2,283,4,135,6,1
916,2,283,5,106,8,2
917,2,284,2,285,2,1
918,2,284,2,286,2,1
919,2,284,3,29,9,1
920,2,284,11,18,0,1
921,2,284,20,7,1,2
922,2,286,2,255,3,1
923,2,286,4,123,2,2
924,2,286,53,16,0,0
925,2,286,53,39,0,2
926,2,286,53,40,0,1
927,2,286,53,41,0,1
928,3,1,2,1,0,0
929,3,2,2,255,3,2
930,3,6,39,6,1,2
931,3,7,3,59,2,0
932,3,7,3,106,1,0
933,3,7,4,82,1,2
934,3,7,6,151,2,0
935,3,7,7,53,5,2
936,3,7,12,36,5,1
937,3,7,12,100,8,1
938,3,7,17,23,3,0
939,3,7,39,23,8,2
940,3,7,43,59,0,1
941,3,7,59,8,2,1
942,3,7,59,10,4,1
943,3,7,89,22,1,0
944,3,7,112,1,1,1
945,3,10,3,196,1,1
946,3,10,3,197,0,2
947,3,10,9,85,3,2
948,3,10,21,98,0,2
949,3,10,40,52,0,2
950,3,13,3,123,1,2
951,3,13,8,42,1,2
952,3,13,8,44,5,2
953,3,14,8,60,1,2
954,3,15,9,72,6,2
955,3,17,12,98,1,1
956,3,18,4,166,3,2
957,3,19,3,85,3,2
958,3,20,3,85,3,1
959,3,20,7,158,5,1
960,3,20,12,108,4,1
961,3,20,21,23,0,0
962,3,20,25,1,1,0
963,3,26,6,124,2,1
964,3,26,17,21,0,2
965,3,26,43,31,1,1
966,3,26,43,32,1,2
967,3,28,4,144,6,2
968,3,28,5,51,4,2
969,3,28,8,73,3,2
970,3,28,16,106,3,2
971,3,28,60,1,6,2
972,3,30,43,38,3,1
973,3,30,75,13,0,2
974,3,32,3,81,2,1
975,3,39,28,7,0,1
976,3,41,19,10,10,2
977,3,43,2,116,1,1
978,3,45,3,39,3,1
979,3,47,54,50,1,2
980,3,50,43,63,5,2
981,3,55,4,156,3,1
982,3,55,4,157,3,2
983,3,55,4,158,3,1
984,3,55,4,159,3,1
985,3,55,6,60,3,1
986,3,55,24,55,3,1
987,3,55,39,42,2,2
988,3,56,13,34,4,2
989,3,58,19,34,0,2
990,3,58,19,35,0,1
991,3,59,19,21,3,1
992,3,61,9,29,0,2
993,3,64,2,125,1,1
994,3,64,16,36,1,2
